from_customer;to_apl_100mN29649E43165;to_apl_100mN29661E43200;to_apl_100mN29630E43162;to_apl_100mN29665E43151;to_apl_100mN29606E43185;to_apl_100mN29633E43200;to_apl_100mN29671E43184;to_apl_100mN29638E43133;to_apl_100mN29611E43167;to_apl_100mN29644E43182;to_apl_100mN29645E43147;to_apl_100mN29683E43217;to_apl_100mN29641E43160;to_apl_100mN29631E43173;to_apl_100mN29655E43174;to_apl_100mN29631E43167;to_apl_100mN29617E43204;to_apl_100mN29658E43191;to_apl_100mN29684E43150;to_apl_100mN29638E43175;to_apl_100mN29647E43211;to_apl_100mN29643E43154;to_apl_100mN29608E43162;to_apl_100mN29648E43160;to_apl_100mN29660E43135;to_apl_100mN29658E43183;to_apl_100mN29622E43153;to_apl_100mN29637E43169;to_apl_100mN29678E43181;to_apl_100mN29621E43139;to_apl_100mN29682E43213;to_apl_100mN29677E43156;to_apl_100mN29624E43178;to_apl_100mN29608E43179;to_apl_100mN29655E43169;to_apl_100mN29646E43138;to_apl_100mN29652E43148;to_apl_100mN29667E43198;to_apl_100mN29677E43188;to_apl_100mN29644E43171;to_apl_100mN29636E43164;to_apl_100mN29655E43203;to_apl_100mN29634E43159;to_apl_100mN29646E43178;to_apl_100mN29628E43202;to_apl_100mN29664E43179;to_apl_100mN29625E43164;to_apl_100mN29663E43194;to_apl_100mN29599E43177;to_apl_100mN29647E43143;to_apl_100mN29667E43188;to_apl_100mN29610E43173;to_apl_100mN29606E43198;to_apl_100mN29633E43182;to_apl_100mN29654E43196;to_apl_100mN29653E43157;to_apl_100mN29665E43183;to_apl_100mN29629E43196;to_apl_100mN29637E43140;to_apl_100mN29682E43209
100mN29680E43159;4423.4;5868.9;6373.6;3178.0;11188.8;8032.4;3131.5;7234.8;8582.5;5600.8;5399.9;7127.6;5160.0;6372.1;3996.9;6298.2;10118.8;5293.3;1540.4;5747.3;7709.9;5434.3;9018.8;4387.0;4739.5;4497.7;7625.7;5714.0;3007.1;8761.4;6635.8;1121.5;7383.1;9708.7;3539.0;6210.3;4910.1;5266.8;3411.5;4816.8;5808.9;6335.0;6005.3;5095.8;8446.5;3924.2;6882.9;5105.4;10677.4;5649.8;3917.2;9046.6;10342.9;6941.5;5946.4;3900.3;3703.6;7757.4;6701.7;6030.3
100mN29606E43161;5328.8;8457.4;3184.4;8424.5;3479.7;6255.0;8136.3;5969.3;930.1;5368.8;5703.9;11372.4;4349.9;3501.1;6192.6;3259.9;6630.4;7325.9;10078.6;4171.3;8163.4;5201.8;645.4;5121.5;8726.2;6825.5;2832.7;3934.5;8990.0;4110.0;10947.5;8886.9;3416.7;1999.6;5933.2;6446.5;5977.7;8614.4;9124.8;4756.2;3841.6;8642.9;3811.5;5123.4;6241.9;7290.6;2626.8;8134.0;2431.5;6017.4;7950.6;1472.6;5598.1;4455.0;7655.6;5736.3;7465.6;5552.7;5467.1;10811.3
100mN29609E43161;4894.0;8022.6;2749.6;7989.7;3583.5;5820.1;7701.4;5440.4;684.6;4934.0;5175.1;10937.5;3915.0;3066.2;5757.8;2825.1;6195.6;6891.1;9643.8;3736.5;7728.6;4673.0;0.0;4686.7;8197.4;6390.6;2303.9;3499.7;8555.2;3581.1;10512.7;8452.1;2981.8;2103.4;5498.4;5917.6;5448.8;8179.5;8690.0;4321.4;3406.7;8208.1;3376.6;4688.6;5807.1;6855.8;2192.0;7699.1;2559.2;5488.5;7515.8;1402.8;5514.2;4020.2;7220.7;5301.4;7030.8;5117.9;4938.2;10376.5
100mN29612E43162;4640.1;7768.7;2495.7;7735.8;3453.7;5566.2;7447.5;5186.5;643.7;4680.1;4921.2;10683.6;3661.1;2812.3;5503.9;2571.2;5941.7;6637.2;9389.9;3482.6;7474.7;4419.1;395.3;4432.8;7943.5;6136.7;2050.0;3245.8;8301.3;3327.2;10258.8;8198.2;2727.9;1973.6;5244.5;5663.7;5194.9;7925.7;8436.1;4067.5;3152.8;7954.2;3122.7;4434.7;5553.2;6601.9;1938.1;7445.3;2604.8;5234.6;7261.9;1273.0;5260.3;3766.3;6966.8;5047.6;6776.9;4864.0;4684.3;10122.6
100mN29613E43161;4517.6;7895.9;2317.1;7452.3;4011.8;5767.8;7557.1;4689.9;1201.9;4807.2;4424.6;10810.8;3434.3;2939.5;5613.4;2541.5;6143.3;6764.4;9106.4;3609.8;7676.2;3922.5;905.2;4206.6;7446.9;6246.3;1553.4;3355.4;8410.8;2929.4;10386.0;7914.7;2929.5;2531.7;5186.3;5167.1;4698.4;8052.8;8545.7;4177.1;3030.3;8081.4;2645.1;4561.8;5754.8;6711.4;1924.9;7572.4;3256.0;4738.1;7371.5;1831.2;5461.9;3967.9;7094.0;4630.3;6886.5;5065.6;4187.7;10249.8
100mN29617E43161;4023.5;7288.9;1875.6;7104.3;3824.9;5160.9;6950.1;4423.4;1108.8;4200.3;4076.6;10203.8;3044.5;2332.5;5006.5;1934.5;5536.3;6157.4;8758.4;3002.8;7069.3;3574.5;1423.2;3816.2;7098.9;5639.3;1286.8;2748.4;7803.9;2662.8;9779.0;7566.7;2322.6;2344.8;4638.3;4819.1;4350.4;7445.8;7938.7;3570.1;2536.2;7474.4;2297.1;3954.8;5147.8;6104.5;1318.0;6965.4;3229.5;4390.1;6764.5;1644.2;4855.0;3360.9;6487.0;4282.3;6279.5;4458.7;3921.2;9642.8
100mN29624E43163;4366.5;7495.1;2222.0;7462.1;4062.1;5292.6;7173.9;5491.1;1494.8;4406.4;4882.0;10410.0;3387.5;2538.7;5230.2;2297.5;5668.0;6363.6;9116.2;3209.0;7201.0;4379.9;1931.1;4159.2;7767.6;5863.1;2387.5;2972.1;8027.6;3782.8;9985.2;7924.5;2454.3;2581.9;4970.9;5624.5;5155.8;7652.0;8162.5;3793.9;2879.2;7680.6;2849.1;4161.0;5279.5;6328.2;1664.4;7171.6;3550.7;5195.4;6988.2;2000.9;4986.7;3492.6;6693.2;4773.9;6503.3;4590.4;4813.6;9849.0
100mN29627E43161;2694.2;6265.7;493.7;5707.6;4619.1;4433.4;5753.9;4241.7;2012.8;3391.8;3237.2;9180.6;1645.9;1524.1;3760.3;891.1;5331.1;5134.2;7361.7;2171.0;6341.8;2738.2;2449.1;2418.2;5976.1;4609.0;1386.0;1718.0;6607.7;3025.7;8755.8;6170.0;2035.9;3139.0;3362.9;3998.2;3476.8;6422.6;6756.8;2377.0;1207.0;6473.2;933.7;3123.0;4420.3;4882.5;257.2;5942.2;4107.7;3556.5;5582.6;2530.2;4649.8;2565.0;5631.7;3001.1;5083.3;3731.2;3187.3;8619.6
100mN29630E43161;2342.7;5914.2;142.2;5438.4;4887.4;4561.9;5402.4;4054.0;2281.1;3044.7;3034.0;8829.1;1363.7;1652.6;3408.7;539.6;5584.9;4782.6;7092.5;1819.5;6295.6;2535.0;2717.4;2135.4;5743.8;4257.5;1367.7;1366.5;6256.2;3007.3;8404.3;5900.8;2164.4;3407.3;3011.4;3810.6;3273.7;6071.1;6405.3;2025.4;855.4;6121.7;746.0;2771.5;4548.8;4531.0;525.4;5590.7;4376.0;3353.4;5231.0;2798.5;4903.6;2572.7;5280.2;2750.1;4731.8;3859.7;2999.7;8268.1
100mN29633E43161;2089.8;5666.4;203.0;5185.4;5122.5;4372.4;5154.6;3856.1;2516.2;2796.9;2781.1;8581.3;1110.8;1454.6;3161.0;635.1;5703.0;4534.9;6839.5;1571.7;6047.8;2282.1;2952.5;1882.5;5490.9;4009.7;1675.3;1118.7;6008.4;3314.9;8156.5;5647.8;2282.6;3642.4;2763.6;3612.6;3020.7;5823.3;6157.5;1777.7;602.5;5873.9;548.1;2523.7;4529.9;4283.2;760.6;5342.9;4611.1;3100.4;4983.3;3033.6;5021.7;2325.0;5032.4;2497.2;4484.0;3840.8;2801.8;8020.3
