from_apl;to_apl_100mN29650E43212;to_apl_100mN29637E43165;to_apl_100mN29656E43172;to_apl_100mN29658E43184;to_apl_100mN29644E43182;to_apl_100mN29624E43164;to_apl_100mN29630E43163;to_apl_100mN29650E43143;to_apl_100mN29633E43182;to_apl_100mN29644E43171;to_apl_100mN29626E43200;to_apl_100mN29647E43154;to_apl_100mN29649E43164;to_apl_100mN29640E43158;to_apl_100mN29632E43201;to_apl_100mN29659E43199;to_apl_100mN29654E43156;to_apl_100mN29664E43184;to_apl_100mN29654E43149;to_apl_100mN29634E43172;to_apl_100mN29659E43192;to_apl_100mN29607E43166;to_apl_100mN29616E43166;to_apl_100mN29611E43173;to_apl_100mN29670E43185;to_apl_100mN29610E43179;to_apl_100mN29665E43194;to_apl_100mN29644E43145;to_apl_100mN29625E43180;to_apl_100mN29645E43137;to_apl_100mN29676E43183;to_apl_100mN29655E43205;to_apl_100mN29653E43199;to_apl_100mN29679E43192;to_apl_100mN29653E43193;to_apl_100mN29680E43214;to_apl_100mN29665E43178;to_apl_100mN29628E43194;to_apl_100mN29607E43160;to_apl_100mN29609E43200;to_apl_hub
100mN29640E43158;6285.7;955.0;2657.4;4140.6;2947.7;1917.7;1246.8;2293.1;2850.2;1793.0;4942.2;1103.6;1380.8;0.0;4976.2;5413.5;1552.5;4039.8;1931.7;1825.8;4605.2;4005.8;3094.1;3874.5;4828.3;4344.0;5276.6;1878.3;3029.5;2682.7;5304.1;5881.4;5104.9;6243.3;4637.7;8098.3;4012.1;4417.4;4056.6;5717.4;6144.5
100mN29632E43201;2905.5;4163.9;4625.0;5047.3;2940.1;4374.6;4526.1;6969.6;2380.9;3789.3;963.4;5797.1;4640.3;4976.2;0.0;3951.1;5709.9;4969.6;6483.7;3549.8;3773.3;5849.8;4938.0;5718.4;5455.1;6187.9;4198.0;6571.8;2598.2;7376.2;6127.8;3573.9;3069.0;6560.6;3012.0;6518.3;5505.6;964.2;5920.0;3088.0;1683.1
100mN29659E43199;1825.9;4908.1;3638.1;2706.0;3102.8;6292.0;5621.0;6431.1;4519.9;3880.6;4723.2;5700.3;4255.0;5413.5;3951.1;0.0;5159.6;2452.2;5945.2;4836.6;1057.1;7937.2;6970.9;7805.9;2453.9;8275.4;1196.7;6475.0;5145.8;7279.4;3126.5;900.4;1247.5;3144.5;1058.8;3097.1;3102.3;4569.1;8007.5;6847.8;5442.9
100mN29654E43156;6209.3;2377.5;2042.6;3834.1;3185.3;3363.9;2692.9;1670.3;4097.0;2270.7;5815.3;1027.0;1327.9;1552.5;5709.9;5159.6;0.0;3738.8;926.9;3177.5;4351.3;5452.0;4540.2;5320.6;4273.4;5790.1;4988.0;1815.6;4452.0;2561.3;4245.2;5689.6;5016.0;5206.4;4383.8;7830.1;3382.6;5377.5;5493.1;7163.5;7017.6
100mN29664E43184;4085.8;3813.8;1840.9;804.7;2760.3;5202.3;4531.3;5004.8;4414.2;2734.8;5429.5;4295.3;2850.1;4039.8;4969.6;2452.2;3738.8;0.0;4480.7;3928.0;1847.4;7023.8;6057.5;6892.5;1005.9;7362.0;1453.7;5070.0;5045.4;5876.5;1481.7;3184.4;2965.8;2319.2;2542.2;4295.8;898.6;4991.8;7094.1;7072.0;6461.4
100mN29654E43149;6992.1;2809.9;2784.5;4619.7;3959.0;3798.8;3119.9;1037.8;4563.1;2927.8;6589.1;982.3;2001.9;1931.7;6483.7;5945.2;926.9;4480.7;0.0;3609.9;5136.8;5643.4;4732.5;5586.1;5015.3;6062.5;5729.9;1466.0;4884.4;1965.4;4987.2;6475.1;5801.5;5948.3;5169.3;8572.1;4124.5;6151.3;5464.7;7590.5;7791.4
100mN29634E43172;5412.7;1073.7;2885.0;4028.8;1924.0;1636.5;1295.6;3971.2;1423.8;1373.6;3515.8;2781.8;2146.4;1825.8;3549.8;4836.6;3177.5;3928.0;3609.9;0.0;4028.3;3267.1;2300.7;3135.7;4730.9;3605.2;4699.7;3556.5;1428.5;4360.9;5206.7;5081.0;4304.5;6145.8;3855.0;7521.4;3953.8;2991.0;3337.3;4488.8;4718.1
100mN29659E43192;2701.4;4099.7;2829.8;2101.2;2634.0;5483.6;4812.7;5622.7;4161.9;3072.2;4545.4;4891.9;3446.7;4605.2;3773.3;1057.1;4351.3;1847.4;5136.8;4028.3;0.0;7128.9;6162.6;6997.5;1849.1;7467.0;740.1;5666.6;4787.8;6471.0;2521.7;1775.1;1285.6;3100.8;861.9;3564.5;2497.5;4391.3;7199.1;6525.4;5265.0
100mN29607E43166;8276.5;3542.7;5924.1;7124.6;4996.9;2238.7;2815.1;5964.7;4083.1;4384.3;5720.5;4815.3;4922.6;4005.8;5849.8;7937.2;5452.0;7023.8;5643.4;3267.1;7128.9;0.0;1213.1;1085.7;7826.7;1720.5;7800.3;5275.9;3251.1;6235.6;8302.5;8038.7;7262.2;9241.6;6932.9;10622.0;7049.6;5208.3;754.6;5189.8;6949.6
100mN29616E43166;7343.4;2576.4;4957.8;6158.3;4030.5;1326.9;1903.3;5053.8;3171.3;3418.0;4808.7;3904.4;4010.8;3094.1;4938.0;6970.9;4540.2;6057.5;4732.5;2300.7;6162.6;1213.1;0.0;992.1;6860.3;1575.2;6834.0;4365.0;2339.3;5324.7;7336.1;7072.4;6295.9;8275.3;5966.6;9655.7;6083.3;4296.6;1498.5;4424.2;6047.6
