Period;APL_ID;Customer_ID
1;100mN29645E43137;100mN29618E43131
1;100mN29645E43137;100mN29621E43131
1;100mN29645E43137;100mN29623E43132
1;100mN29645E43137;100mN29633E43131
1;100mN29645E43137;100mN29636E43131
1;100mN29645E43137;100mN29639E43131
1;100mN29645E43137;100mN29641E43131
1;100mN29645E43137;100mN29647E43132
1;100mN29645E43137;100mN29657E43131
1;100mN29645E43137;100mN29660E43131
1;100mN29650E43143;100mN29661E43131
1;100mN29650E43143;100mN29666E43131
1;100mN29650E43143;100mN29669E43132
1;100mN29654E43149;100mN29683E43131
1;100mN29654E43149;100mN29687E43131
1;100mN29645E43137;100mN29618E43135
1;100mN29645E43137;100mN29621E43134
1;100mN29645E43137;100mN29624E43134
1;100mN29645E43137;100mN29627E43136
1;100mN29645E43137;100mN29628E43136
1;100mN29645E43137;100mN29633E43135
1;100mN29645E43137;100mN29636E43134
1;100mN29645E43137;100mN29639E43134
1;100mN29645E43137;100mN29642E43134
1;100mN29645E43137;100mN29645E43135
1;100mN29645E43137;100mN29647E43134
1;100mN29645E43137;100mN29654E43135
1;100mN29645E43137;100mN29657E43134
1;100mN29650E43143;100mN29660E43134
1;100mN29650E43143;100mN29669E43135
1;100mN29654E43149;100mN29687E43136
1;100mN29645E43137;100mN29621E43137
1;100mN29645E43137;100mN29624E43138
1;100mN29645E43137;100mN29627E43137
1;100mN29645E43137;100mN29633E43137
1;100mN29645E43137;100mN29636E43137
1;100mN29645E43137;100mN29639E43137
1;100mN29645E43137;100mN29642E43137
1;100mN29645E43137;100mN29645E43137
1;100mN29645E43137;100mN29648E43137
1;100mN29645E43137;100mN29650E43137
1;100mN29650E43143;100mN29657E43137
1;100mN29650E43143;100mN29660E43137
1;100mN29650E43143;100mN29661E43138
1;100mN29654E43149;100mN29687E43137
1;100mN29624E43164;100mN29621E43140
1;100mN29644E43145;100mN29624E43140
1;100mN29644E43145;100mN29627E43140
1;100mN29644E43145;100mN29632E43140
1;100mN29645E43137;100mN29636E43142
1;100mN29645E43137;100mN29639E43140
1;100mN29645E43137;100mN29642E43140
1;100mN29645E43137;100mN29645E43140
1;100mN29645E43137;100mN29648E43140
1;100mN29650E43143;100mN29651E43142
1;100mN29650E43143;100mN29653E43142
1;100mN29650E43143;100mN29658E43142
1;100mN29650E43143;100mN29663E43141
1;100mN29624E43164;100mN29621E43143
1;100mN29624E43164;100mN29623E43144
1;100mN29644E43145;100mN29636E43145
1;100mN29644E43145;100mN29639E43143
1;100mN29644E43145;100mN29642E43143
1;100mN29644E43145;100mN29645E43143
1;100mN29644E43145;100mN29648E43143
1;100mN29650E43143;100mN29651E43143
1;100mN29650E43143;100mN29653E43144
1;100mN29654E43149;100mN29659E43143
1;100mN29654E43149;100mN29663E43143
1;100mN29654E43149;100mN29687E43144
1;100mN29616E43166;100mN29615E43147
1;100mN29624E43164;100mN29618E43146
1;100mN29624E43164;100mN29621E43146
1;100mN29624E43164;100mN29624E43146
1;100mN29630E43163;100mN29627E43148
1;100mN29644E43145;100mN29636E43147
1;100mN29644E43145;100mN29639E43147
1;100mN29644E43145;100mN29641E43146
1;100mN29644E43145;100mN29645E43146
1;100mN29644E43145;100mN29648E43146
1;100mN29650E43143;100mN29651E43146
1;100mN29650E43143;100mN29654E43147
1;100mN29654E43149;100mN29655E43148
1;100mN29654E43149;100mN29660E43146
1;100mN29654E43149;100mN29663E43146
1;100mN29654E43149;100mN29666E43147
1;100mN29654E43149;100mN29668E43146
1;100mN29654E43149;100mN29684E43148
1;100mN29654E43149;100mN29687E43148
1;100mN29616E43166;100mN29618E43150
1;100mN29624E43164;100mN29621E43150
1;100mN29624E43164;100mN29624E43149
1;100mN29630E43163;100mN29627E43149
1;100mN29644E43145;100mN29636E43149
1;100mN29644E43145;100mN29639E43149
1;100mN29644E43145;100mN29645E43149
1;100mN29644E43145;100mN29648E43149
1;100mN29654E43149;100mN29651E43149
1;100mN29654E43149;100mN29654E43149
1;100mN29654E43149;100mN29660E43149
1;100mN29654E43149;100mN29663E43149
1;100mN29654E43149;100mN29666E43149
1;100mN29654E43149;100mN29669E43149
1;100mN29654E43149;100mN29671E43151
1;100mN29654E43149;100mN29675E43149
1;100mN29654E43149;100mN29678E43150
1;100mN29654E43149;100mN29684E43149
1;100mN29654E43149;100mN29687E43149
1;100mN29607E43166;100mN29612E43152
1;100mN29616E43166;100mN29615E43152
1;100mN29616E43166;100mN29618E43152
1;100mN29624E43164;100mN29621E43152
1;100mN29624E43164;100mN29624E43152
1;100mN29624E43164;100mN29627E43154
1;100mN29630E43163;100mN29630E43154
1;100mN29630E43163;100mN29632E43153
1;100mN29640E43158;100mN29636E43152
1;100mN29640E43158;100mN29639E43152
1;100mN29640E43158;100mN29641E43152
1;100mN29647E43154;100mN29645E43152
1;100mN29647E43154;100mN29648E43152
1;100mN29647E43154;100mN29650E43152
1;100mN29654E43149;100mN29657E43154
1;100mN29654E43149;100mN29663E43152
1;100mN29654E43149;100mN29666E43152
1;100mN29654E43149;100mN29669E43152
1;100mN29654E43149;100mN29672E43152
1;100mN29654E43149;100mN29675E43152
1;100mN29654E43149;100mN29678E43152
1;100mN29654E43149;100mN29681E43153
1;100mN29654E43149;100mN29684E43152
1;100mN29654E43149;100mN29687E43152
1;100mN29607E43166;100mN29612E43155
1;100mN29616E43166;100mN29618E43155
1;100mN29624E43164;100mN29621E43155
1;100mN29624E43164;100mN29624E43155
